Kwartal;Bialystok;Bydgoszcz;Gdansk;Gdynia;Katowice;Kielce;Krakow;Lublin;Lodz;Olsztyn;Opole;Poznan;Rzeszow;Szczecin;Warszawa;Wroclaw
I 2012;4577;4520;5594;6106;4679;4663;6637;4935;4610;4663;4645;5932;4138;4735;6967;5606;3750
II 2012;4384;4686;5604;6604;4443;4944;6616;4906;4668;4452;4557;5880;4135;4762;7043;5808;3602
III 2012;4507;4502;5555;6439;5004;5161;6711;4864;4473;4480;4428;5978;4496;4759;6757;5521;3673
IV 2012;4357;4615;5336;6002;5685;4516;6417;4699;4536;4556;4203;5339;4407;4567;6466;5593;3691
I 2013;4610;4855;5292;5732;5104;4647;5926;4679;4629;4395;4428;6147;4467;4547;6990;5430;3655
II 2013;4428;4815;5682;6083;5232;4646;6299;4943;4531;4478;4526;5998;4383;4581;7018;5603;3623
III 2013;4526;4896;5794;6646;4670;4718;5895;4770;4388;4560;4617;5913;4680;4444;7173;5605;3606
IV 2013;4493;4528;6155;6003;4529;4651;5782;4796;4423;4511;4638;5868;4821;4742;7427;5693;3625
I 2014;4501;4601;5501;6072;4532;4587;6000;4643;4433;4493;4370;6146;4515;4732;7298;5668;3620
II 2014;4488;4808;5977;5648;4974;4623;6172;4917;4533;4461;4390;6116;4828;4699;7316;5860;3688
III 2014;4431;4797;5805;6037;5015;4578;5970;4843;4661;4690;4609;6022;4649;4745;7446;5921;3736
IV 2014;4570;4618;5785;5877;4907;4602;5722;4967;4656;4736;4651;6225;4709;4841;7315;5793;3750
I 2015;4526;4619;5951;5778;4795;4736;5861;4920;4578;4724;4727;6307;4857;4779;7396;5988;3647
II 2015;4606;4720;5749;6162;4898;4507;5896;4980;4687;4807;4427;6209;4990;4822;7510;6068;3743
III 2015;4613;4745;6089;6710;5003;4549;6312;5017;4676;4617;4429;6228;4596;4696;7557;6044;3749
IV 2015;4519;4819;6031;6334;5049;4620;6357;4913;4697;4764;4366;6234;4868;4609;7462;6109;3785
I 2016;4594;4831;6452;6209;5030;4710;6239;4995;4738;4737;4369;6246;4806;4670;7639;5993;3777
II 2016;4615;4834;6185;6391;4868;4685;6343;5035;4646;4729;4350;6298;4852;4832;7583;6218;3781
III 2016;4596;4954;6283;6631;5173;4581;6298;4976;4727;4935;4432;6195;5019;4793;7696;6162;3836
IV 2016;4505;4852;6481;6975;5038;4559;6451;5212;4850;4991;4686;6304;5036;4823;7686;6163;3858
I 2017;4612;4971;6430;6710;5114;4614;6373;5095;4792;4899;4529;6263;4801;4694;7562;6136;3851
II 2017;4687;4945;6501;6732;5095;4545;6583;4953;4940;4997;4657;6260;4894;5236;7683;6314;3861
III 2017;4463;5330;6816;7175;5226;4547;6810;5243;4911;4929;4759;6379;4962;5359;7820;6433;3861
IV 2017;4587;5177;6829;6902;5266;4689;6755;5093;5148;5593;4794;6382;4842;5468;7751;6389;3873
I 2018;4944;5635;7255;6851;5217;4591;6796;5473;5211;5364;4704;6430;4929;5257;7965;6508;3863
II 2018;5052;5403;7543;7080;5464;4798;6778;5479;5206;5240;4994;6735;5170;5513;8182;6651;3899
III 2018;5351;5393;7257;7418;5487;4805;6945;5545;5356;5311;5013;6849;5318;5672;8538;6750;3909
IV 2018;5385;5429;7915;7803;5846;4967;7199;5785;5507;5612;5312;7017;5227;5880;8565;6905;3994
I 2019;5422;5911;8262;7990;6539;4999;7426;5874;5631;5577;5303;7056;5117;5960;8771;7032;4243
II 2019;5620;5930;8288;8181;6275;5020;7739;5852;5853;5677;5222;7087;5523;6495;8932;7435;4496
III 2019;5584;6337;8534;8321;6746;5220;7788;6158;5881;5872;5728;7102;6105;6650;9188;7661;4539
IV 2019;5688;6190;8585;8027;6880;5295;8238;5977;6026;6108;5487;7396;5761;6752;9476;7634;4688
I 2020;5839;6331;8741;8251;6996;5425;8307;6158;6249;6220;6202;7423;6157;6913;9819;8354;4851
II 2020;5811;6354;8806;7974;6829;5573;8613;5976;6080;6289;6082;7431;5845;6732;9439;8041;4886
III 2020;5827;6535;9024;8240;6885;5725;8917;6188;6406;6388;5955;7459;6173;7014;10183;8109;5113
IV 2020;5816;6665;9400;8133;7246;5920;8745;6820;6624;6425;6031;7636;6146;7156;10240;8233;5350
I 2021;6024;6962;9794;9325;7371;5982;8866;6830;6500;6448;6231;7961;6438;7643;10666;8423;5316
II 2021;6370;7107;10260;9824;7839;6297;9377;7129;6676;6778;6152;7930;6448;7854;10696;8578;5684
III 2021;6714;7118;10043;9739;8340;6530;9727;7278;7451;6840;6119;8026;6759;8580;11006;8891;6047
IV 2021;7576;7671;10930;9927;8290;6718;10308;8177;7528;7031;6844;8605;7210;8928;11620;9507;6438
I 2022;8036;7738;11206;9830;8928;6929;10537;8345;7718;7446;7102;8795;7493;8974;12381;10029;6885
II 2022;8396;7862;10954;10131;9449;7108;11142;8771;7929;7602;6937;9498;7341;9961;12343;10338;7203
III 2022;8449;8330;11707;10331;9229;8043;11601;8886;8475;7474;8367;9736;7540;10690;12727;10520;7458
IV 2022;8474;7853;10741;10830;9663;8282;12123;9149;8520;7563;8277;9716;8087;10662;12836;10453;7468
I 2023;8390;8522;10970;10843;9594;8201;11492;9158;8451;8236;8757;9972;8207;10976;12806;11112;7566
II 2023;8528;8639;11491;10673;9226;8432;11590;8971;8810;8050;8833;10151;8703;10857;13180;11397;7473
III 2023;8503;8205;11685;11277;9703;8492;12227;9247;8731;8568;9268;10670;8743;10797;14032;11713;7615
IV 2023;9384;9122;12355;11109;10348;8208;13482;10085;9202;8620;9488;11060;9426;10553;14927;12498;7655
I 2024;9775;9009;12384;11972;10675;8578;14711;9847;9755;8837;10234;11713;9631;11872;15896;12838;7730
II 2024;10129;8940;12562;11800;11508;9446;15462;10772;10320;9160;10428;12438;9514;12252;15995;13537;8299
III 2024;10444;9011;12409;11462;11844;9476;16042;10813;9953;9125;10584;11852;9413;11646;16314;14725;8460
IV 2024;10236;9590;13023;12266;11931;10288;15474;10967;10003;9485;10352;12774;10718;11918;16553;14142;8735
I 2025;10291;9389;13240;12907;12000;10074;15686;10964;9781;9601;11210;12328;10009;12023;16383;14257;9506
